,user_id,movie_id,rating
0,1,1,5
1,1,2,3
2,1,3,4
3,1,4,3
4,1,5,3
5,1,7,4
6,1,8,1
7,1,9,5
8,1,11,2
9,1,13,5
10,1,15,5
11,1,16,5
12,1,18,4
13,1,19,5
14,1,21,1
15,1,22,4
16,1,25,4
17,1,26,3
18,1,28,4
19,1,29,1
20,1,30,3
21,1,32,5
22,1,34,2
23,1,35,1
24,1,37,2
25,1,38,3
26,1,40,3
27,1,41,2
28,1,42,5
29,1,43,4
30,1,45,5
31,1,46,4
32,1,48,5
33,1,50,5
34,1,52,4
35,1,55,5
36,1,57,5
37,1,58,4
38,1,59,5
39,1,63,2
40,1,66,4
41,1,68,4
42,1,71,3
43,1,75,4
44,1,77,4
45,1,79,4
46,1,83,3
47,1,87,5
48,1,88,4
49,1,89,5
50,1,93,5
51,1,94,2
52,1,95,4
53,1,99,3
54,1,101,2
55,1,105,2
56,1,106,4
57,1,109,5
58,1,110,1
59,1,111,5
60,1,115,5
61,1,116,3
62,1,119,5
63,1,122,3
64,1,123,4
65,1,124,5
66,1,126,2
67,1,127,5
68,1,131,1
69,1,133,4
70,1,135,4
71,1,136,3
72,1,137,5
73,1,138,1
74,1,139,3
75,1,141,3
76,1,142,2
77,1,144,4
78,1,146,4
79,1,147,3
80,1,149,2
81,1,152,5
82,1,153,3
83,1,156,4
84,1,158,3
85,1,162,4
86,1,165,5
87,1,166,5
88,1,167,2
89,1,168,5
90,1,169,5
91,1,172,5
92,1,173,5
93,1,176,5
94,1,178,5
95,1,179,3
96,1,181,5
97,1,182,4
98,1,187,4
99,1,191,5
100,1,192,4
101,1,194,4
102,1,195,5
103,1,197,5
104,1,198,5
105,1,199,4
106,1,203,4
107,1,204,5
108,1,205,3
109,1,207,5
110,1,211,3
111,1,216,5
112,1,217,3
113,1,220,3
114,1,223,5
115,1,231,1
116,1,234,4
117,1,237,2
118,1,238,4
119,1,239,4
120,1,240,3
121,1,244,2
122,1,245,2
123,1,246,5
124,1,247,1
125,1,249,4
126,1,251,4
127,1,256,4
128,1,257,4
129,1,261,1
130,1,263,1
131,1,268,5
132,1,269,5
133,1,270,5
134,1,271,2
135,2,1,4
136,2,10,2
137,2,14,4
138,2,25,4
139,2,100,5
140,2,111,4
141,2,127,5
142,2,237,4
143,2,242,5
144,2,255,4
145,2,258,3
146,2,269,4
147,2,272,5
148,2,273,4
149,2,274,3
150,2,275,5
151,2,276,4
152,2,277,4
153,2,278,3
154,2,282,4
155,2,283,5
156,2,284,4
157,2,285,5
158,2,286,4
159,2,287,3
160,2,288,3
161,2,289,3
162,2,291,3
163,2,293,4
164,2,294,1
165,2,295,4
166,2,296,3
167,2,300,4
168,2,302,5
169,2,304,4
170,2,305,3
171,2,306,4
172,2,309,1
173,2,310,4
174,2,311,5
175,3,181,4
176,3,258,2
177,3,260,4
178,3,268,3
179,3,271,3
180,3,288,2
181,3,302,2
182,3,303,3
183,3,317,2
184,3,319,2
185,3,320,5
186,3,321,5
187,3,322,3
188,3,325,1
189,3,326,2
190,3,329,4
191,3,333,2
192,3,336,1
193,3,338,2
194,3,339,3
195,3,340,5
196,3,342,4
197,3,344,4
198,3,346,5
199,3,347,5
200,3,352,2
201,3,353,1
202,3,355,3
203,4,11,4
204,4,210,3
205,4,258,5
206,4,271,4
207,4,300,5
208,4,301,5
209,4,324,5
210,4,327,5
211,4,328,3
212,4,329,5
213,4,358,2
214,4,359,5
215,4,360,5
216,4,362,5
217,5,21,3
218,5,25,3
219,5,29,4
220,5,50,4
221,5,63,1
222,5,66,1
223,5,70,4
224,5,95,4
225,5,99,3
226,5,101,5
227,5,105,3
228,5,121,4
229,5,135,4
230,5,145,1
231,5,151,3
232,5,162,1
233,5,163,5
234,5,168,3
235,5,169,5
236,5,172,5
237,5,174,5
238,5,181,5
239,5,183,4
240,5,186,5
241,5,189,5
242,5,194,4
243,5,200,2
244,5,204,4
245,5,208,4
246,5,210,3
247,5,216,1
248,5,226,3
249,5,228,5
250,5,229,2
251,5,233,4
252,5,235,4
253,5,239,4
254,5,250,3
255,5,257,5
256,5,365,1
